,distance,consume,speed,temp_inside,temp_outside,specials,gas_type,ac,rain,sun,refill_liters,refill_gas,E10_gas
0,28.0,5.0,26.0,21.5,12.0,unknown,E10,0.0,0.0,0.0,45.0,E10,1
1,12.0,4.2,30.0,21.5,13.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
2,11.2,5.5,38.0,21.5,15.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
3,12.9,3.9,36.0,21.5,14.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
4,18.5,4.5,46.0,21.5,15.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
5,8.3,6.4,50.0,21.5,10.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
6,7.8,4.4,43.0,21.5,11.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
7,12.3,5.0,40.0,21.5,6.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
8,4.9,6.4,26.0,21.5,4.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
9,11.9,5.3,30.0,21.5,9.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
10,12.4,5.6,42.0,21.5,4.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
11,11.8,4.6,38.0,21.5,0.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
12,12.3,5.9,59.0,21.5,10.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
13,24.7,5.1,58.0,21.5,12.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
14,12.4,4.7,46.0,21.5,11.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
15,17.3,5.1,24.0,21.5,5.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
16,33.4,5.6,36.0,21.5,3.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
17,11.8,5.1,32.0,21.5,3.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
18,25.9,4.9,39.0,21.5,8.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
19,11.8,4.7,40.0,21.5,4.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
20,25.3,5.5,32.0,21.5,3.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
21,14.2,5.9,38.0,21.5,1.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
22,17.9,5.7,37.0,21.5,1.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
23,11.8,4.7,36.0,21.5,1.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
24,12.3,5.9,62.0,21.5,6.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
25,12.4,4.1,57.0,21.5,9.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
26,18.4,5.7,21.0,22.5,2.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
27,18.4,5.8,28.0,21.5,3.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
28,18.3,5.5,29.0,21.5,1.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
29,18.4,5.7,35.0,21.5,4.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
30,12.3,5.3,51.0,21.5,11.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
